Zip,County,Rate
43416,Ottawa,0.0675
43416,Sandusky,0.07
43420,Ottawa,0.0675
43420,Sandusky,0.07
43430,Ottawa,0.0675
43430,Sandusky,0.07
43430,Wood,0.065
43431,Sandusky,0.07
43431,Wood,0.065
43432,Ottawa,0.0675
43433,Ottawa,0.0675
43434,Lucas,0.0675
43435,Sandusky,0.07
43436,Ottawa,0.0675
43437,Wood,0.065
43438,Erie,0.065
43439,Ottawa,0.0675
43440,Ottawa,0.0675
43441,Wood,0.065
43442,Ottawa,0.0675
43442,Sandusky,0.07
43443,Sandusky,0.07
43443,Wood,0.065
43445,Lucas,0.0675
43445,Ottawa,0.0675
43446,Ottawa,0.0675
43447,Ottawa,0.0675
43447,Wood,0.065
43449,Ottawa,0.0675
43449,Sandusky,0.07
43450,Sandusky,0.07
43450,Wood,0.065
43451,Wood,0.065
43452,Ottawa,0.0675
43456,Ottawa,0.0675
43457,Sandusky,0.07
43457,Seneca,0.07
43457,Wood,0.065
43458,Ottawa,0.0675
43460,Wood,0.065
43462,Wood,0.065
43463,Wood,0.065
43464,Erie,0.065
43464,Sandusky,0.07
43465,Wood,0.065
43466,Wood,0.065
43467,Wood,0.065
43468,Ottawa,0.0675
43469,Ottawa,0.0675
43469,Sandusky,0.07
43469,Wood,0.065
43501,Williams,0.07
43502,Fulton,0.07
43502,Henry,0.07
43504,Fulton,0.07
43504,Lucas,0.0675
43505,Williams,0.07
43506,Defiance,0.065
43506,Williams,0.07
43510,Henry,0.07
43511,Henry,0.07
43511,Wood,0.065
43512,Defiance,0.065
43512,Henry,0.07
43512,Paulding,0.07
43515,Fulton,0.07
43516,Hancock,0.065
43516,Henry,0.07
43516,Putnam,0.07
43516,Wood,0.065
43517,Defiance,0.065
43517,Williams,0.07
43518,Williams,0.07
43519,Defiance,0.065
43520,Defiance,0.065
43521,Fulton,0.07
43521,Williams,0.07
43522,Henry,0.07
43522,Lucas,0.0675
43522,Wood,0.065
43523,Henry,0.07
43524,Henry,0.07
43525,Wood,0.065
43526,Defiance,0.065
43526,Paulding,0.07
43527,Defiance,0.065
43527,Henry,0.07
43528,Lucas,0.0675
43529,Henry,0.07
43530,Defiance,0.065
43531,Williams,0.07
43532,Fulton,0.07
43532,Henry,0.07
43532,Lucas,0.0675
43533,Fulton,0.07
43534,Henry,0.07
43534,Wood,0.065
43535,Henry,0.07
43536,Defiance,0.065
43537,Lucas,0.0675
43540,Fulton,0.07
43540,Lucas,0.0675
43541,Wood,0.065
43542,Lucas,0.0675
43543,Williams,0.07
43545,Defiance,0.065
43545,Fulton,0.07
43545,Henry,0.07
43547,Lucas,0.0675
43548,Defiance,0.065
43548,Henry,0.07
43548,Putnam,0.07
43549,Defiance,0.065
43550,Henry,0.07
43551,Lucas,0.0675
43551,Wood,0.065
43552,Wood,0.065
43553,Fulton,0.07
43554,Williams,0.07
43555,Henry,0.07
43556,Defiance,0.065
43556,Paulding,0.07
43557,Fulton,0.07
43557,Henry,0.07
43557,Williams,0.07
43558,Fulton,0.07
43558,Lucas,0.0675
43560,Lucas,0.0675
43565,Wood,0.065
43566,Lucas,0.0675
43567,Fulton,0.07
43567,Henry,0.07
43569,Wood,0.065
43570,Fulton,0.07
43570,Williams,0.07
43571,Lucas,0.0675
43601,Lucas,0.0675
43603,Lucas,0.0675
43604,Lucas,0.0675
43605,Lucas,0.0675
43605,Wood,0.065
43606,Lucas,0.0675
43607,Lucas,0.0675
43608,Lucas,0.0675
43609,Lucas,0.0675
43610,Lucas,0.0675
43611,Lucas,0.0675
43612,Lucas,0.0675
43613,Lucas,0.0675
43614,Lucas,0.0675
43615,Lucas,0.0675
43616,Lucas,0.0675
43616,Wood,0.065
43617,Lucas,0.0675
43618,Lucas,0.0675
43619,Wood,0.065
43620,Lucas,0.0675
43623,Lucas,0.0675
43635,Lucas,0.0675
43652,Lucas,0.0675
43654,Wood,0.065
43656,Lucas,0.0675
43657,Lucas,0.0675
43659,Lucas,0.0675
43660,Lucas,0.0675
43661,Lucas,0.0675
43666,Lucas,0.0675
43667,Lucas,0.0675
43681,Lucas,0.0675
43682,Lucas,0.0675
43697,Lucas,0.0675
43699,Lucas,0.0675
43701,Muskingum,0.07
43702,Muskingum,0.07
43711,Noble,0.07
43713,Belmont,0.07
43713,Guernsey,0.07
43716,Belmont,0.07
43716,Monroe,0.07
43717,Noble,0.07
43718,Belmont,0.07
43719,Belmont,0.07
43720,Morgan,0.07
43720,Muskingum,0.07
43721,Licking,0.07
43722,Guernsey,0.07
43723,Guernsey,0.07
43724,Guernsey,0.07
43724,Morgan,0.07
43724,Noble,0.07
43725,Guernsey,0.07
43727,Muskingum,0.07
43728,Athens,0.0675
43728,Morgan,0.07
43730,Perry,0.07
43731,Morgan,0.07
43731,Muskingum,0.07
43731,Perry,0.07
43732,Guernsey,0.07
43732,Muskingum,0.07
43732,Noble,0.07
43733,Guernsey,0.07
43734,Muskingum,0.07
43735,Muskingum,0.07
43736,Guernsey,0.07
43738,Muskingum,0.07
43739,Licking,0.07
43739,Perry,0.07
43740,Licking,0.07
43746,Licking,0.07
43746,Muskingum,0.07
43747,Belmont,0.07
